ref,url,nome,imagem,categoria,valor_riscado,valor_boleto,desconto,n_parcelas,valor_parcela
121843,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/faixa-adesiva-de-parede-amiguinhos-fazendinha-verde,Faixa Adesiva de Parede Amiguinhos Fazendinha,https://dmhxz00kguanp.cloudfront.net/fotos/121843/media_faixa-adesiva-de-parede-amiguinhos-fazendinha-275107.jpg,Adesivo,79.92,19.99,0.3,4,568.0
121813,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/adesivo-de-parede-fazendinha-bege-verde,Adesivo de Parede Fazendinha,https://dmhxz00kguanp.cloudfront.net/fotos/121813/media_adesivo-de-parede-fazendinha-275388.jpg,Adesivo,79.92,17.99,0.21,4,511.0
121811,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/adesivo-de-parede-amiguinhos-porquinho-e-pintinho-amarelo-rosa,Adesivo de Parede Amiguinhos Porquinho e Pintinho,https://dmhxz00kguanp.cloudfront.net/fotos/121811/media_adesivo-de-parede-amiguinhos-porquinho-e-pintinho-275384.jpg,Adesivo,79.92,17.99,0.31,4,511.0
121486,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/adesivos-de-parede-amiguinhas-realeza-rosa,Adesivos de Parede Amiguinhas Realeza,https://dmhxz00kguanp.cloudfront.net/fotos/121486/media_adesivos-de-parede-amiguinhas-realeza-273797.jpg,Adesivo,79.92,414.99,0.2,12,4259.0
76928,https://www.graodegente.com.br/fralda-e-cueiro/jogo-de-fraldas-ombro-alice-rosa,Jogo de Fraldas Ombro Alice Rosa com 3,https://dmhxz00kguanp.cloudfront.net/fotos/76928/media_jogo-de-fraldas-ombro-alice-rosa-com-3-169208.jpg,Fralda e Cueiro,82.34,72.99,0.11,12,749.0
76759,https://www.graodegente.com.br/fralda-e-cueiro/jogo-de-fraldas-ombro-nina-e-o-balao-rosa,Jogo de Fraldas Ombro Ursinha Nina e o Balão com 5,https://dmhxz00kguanp.cloudfront.net/fotos/76759/media_jogo-de-fraldas-ombro-nina-e-o-balao-com-5-168087.jpg,Fralda e Cueiro,82.34,108.99,0.08,12,1119.0
76632,https://www.graodegente.com.br/fralda-e-cueiro/jogo-de-fraldas-ombro-pequena-bailarina-rosa-1,Jogo de Fraldas Ombro Pequena Bailarina com 5,https://dmhxz00kguanp.cloudfront.net/fotos/76632/media_jogo-de-fraldas-ombro-pequena-bailarina-com-5-167804.jpg,Fralda e Cueiro,82.34,108.99,0.08,12,1119.0
76631,https://www.graodegente.com.br/fralda-e-cueiro/jogo-de-fraldas-ombro-pequena-bailarina-rosa,Jogo de Fraldas Ombro Pequena Bailarina com 3,https://dmhxz00kguanp.cloudfront.net/fotos/76631/media_jogo-de-fraldas-ombro-pequena-bailarina-com-3-167802.jpg,Fralda e Cueiro,82.34,72.99,0.11,12,749.0
76624,https://www.graodegente.com.br/fralda-e-cueiro/jogo-de-fraldas-boca-pequena-bailarina-rosa,Jogo de Fraldas de Boca Malha Pequena Bailarina,https://dmhxz00kguanp.cloudfront.net/fotos/76624/media_jogo-de-fraldas-de-boca-malha-pequena-bailarina-167798.jpg,Fralda e Cueiro,82.34,48.99,0.1,12,503.0
76505,https://www.graodegente.com.br/fralda-e-cueiro/jogo-de-fraldas-ombro-nino-e-a-pipa-azul-1,Jogo de Fraldas Ombro Nino e a Pipa com 5,https://dmhxz00kguanp.cloudfront.net/fotos/76505/media_jogo-de-fraldas-ombro-nino-e-a-pipa-com-5-167473.jpg,Fralda e Cueiro,82.34,108.99,0.08,12,1119.0
76329,https://www.graodegente.com.br/fralda-e-cueiro/jogo-de-fraldas-boca-minha-princesinha-rosa-1,Jogo de Fraldas de Boca Malha Minha Princesinha,https://dmhxz00kguanp.cloudfront.net/fotos/76329/media_jogo-de-fraldas-de-boca-malha-minha-princesinha-166662.jpg,Fralda e Cueiro,82.34,48.99,0.1,12,503.0
76327,https://www.graodegente.com.br/fralda-e-cueiro/jogo-de-fraldas-ombro-princesa-premium-bordado-rosa,Jogo de Fraldas Ombro Minha Princesinha com 5,https://dmhxz00kguanp.cloudfront.net/fotos/76327/media_jogo-de-fraldas-ombro-minha-princesinha-com-5-166660.jpg,Fralda e Cueiro,82.34,108.99,0.08,12,1119.0
76325,https://www.graodegente.com.br/fralda-e-cueiro/jogo-de-fraldas-ombro-minha-princesinha-rosa,Jogo de Fraldas Ombro Minha Princesinha com 3,https://dmhxz00kguanp.cloudfront.net/fotos/76325/media_jogo-de-fraldas-ombro-minha-princesinha-com-3-166658.jpg,Fralda e Cueiro,82.34,72.99,0.11,12,749.0
63799,https://www.graodegente.com.br/fralda-e-cueiro/jogo-de-fraldas-de-boca-luxo-maritimo-azul-marinho,Jogo de Fraldas de Boca Luxo Marítimo,https://dmhxz00kguanp.cloudfront.net/fotos/63799/media_jogo-de-fraldas-de-boca-luxo-maritimo-130044.jpg,Fralda e Cueiro,82.34,39.99,0.08,9,528.0
48939,https://www.graodegente.com.br/fralda-e-cueiro/jogo-de-fraldas-de-boca-meu-bebe-rosa,Jogo de Fraldas de Boca Meu Bebê,https://dmhxz00kguanp.cloudfront.net/fotos/48939/media_jogo-de-fraldas-de-boca-meu-bebe-92047.jpg,Fralda e Cueiro,82.34,39.99,0.08,9,528.0
48679,https://www.graodegente.com.br/fralda-e-cueiro/jogo-de-fraldas-de-boca-minha-princesa-rosa,Jogo de Fraldas de Boca Minha Princesa,https://dmhxz00kguanp.cloudfront.net/fotos/48679/media_jogo-de-fraldas-de-boca-minha-princesa-90880.jpg,Fralda e Cueiro,82.34,39.99,0.08,9,528.0
48678,https://www.graodegente.com.br/fralda-e-cueiro/jogo-de-fraldas-de-ombro-com-3-minha-princesa-rosa,Jogo de Fraldas de Ombro com 3 Minha Princesa,https://dmhxz00kguanp.cloudfront.net/fotos/48678/media_jogo-de-fraldas-com-3-minha-princesa-90879.jpg,Fralda e Cueiro,82.34,57.99,0.07,12,595.0
48676,https://www.graodegente.com.br/fralda-e-cueiro/jogo-de-fraldas-de-boca-em-malha-rosa,Jogo de Fraldas de Boca em Malha Minha Princesa,https://dmhxz00kguanp.cloudfront.net/fotos/48676/media_jogo-de-fraldas-de-boca-em-malha-minha-princesa-90875.jpg,Fralda e Cueiro,82.34,47.99,0.07,11,533.0
48626,https://www.graodegente.com.br/fralda-e-cueiro/jogo-de-fraldas-de-boca-meu-jogador-azul,Jogo de Fraldas de Boca Meu Jogador,https://dmhxz00kguanp.cloudfront.net/fotos/48626/media_jogo-de-fraldas-de-boca-meu-jogador-90729.jpg,Fralda e Cueiro,82.34,39.99,0.08,9,528.0
48625,https://www.graodegente.com.br/fralda-e-cueiro/jogo-de-fraldas-de-ombro-com-3-meu-jogador-azul,Jogo de Fraldas de Ombro com 3 Meu Jogador,https://dmhxz00kguanp.cloudfront.net/fotos/48625/media_jogo-de-fraldas-com-3-meu-jogador-90728.jpg,Fralda e Cueiro,82.34,57.99,0.07,12,595.0
48594,https://www.graodegente.com.br/fralda-e-cueiro/jogo-de-fraldas-de-ombro-com-3-meu-anjo-bege,Jogo de Fraldas de Ombro com 3 Meu Anjo,https://dmhxz00kguanp.cloudfront.net/fotos/48594/media_jogo-de-fraldas-com-3-meu-anjo-90672.jpg,Fralda e Cueiro,82.34,57.99,0.07,12,595.0
48593,https://www.graodegente.com.br/fralda-e-cueiro/jogo-de-fraldas-de-boca-em-malha-meu-anjo-bege,Jogo de Fraldas de Boca em Malha Meu Anjo,https://dmhxz00kguanp.cloudfront.net/fotos/48593/media_jogo-de-fraldas-de-boca-em-malha-meu-anjo-90670.jpg,Fralda e Cueiro,82.34,47.99,0.07,11,533.0
46328,https://www.graodegente.com.br/fralda-e-cueiro/jogo-de-fraldas-de-boca-mamae-bebe-lilas,Jogo de Fraldas de Boca Mamãe Bebê,https://dmhxz00kguanp.cloudfront.net/fotos/46328/media_jogo-de-fraldas-de-boca-mamae-bebe-90642.jpg,Fralda e Cueiro,82.34,39.99,0.08,9,528.0
